Internal ID Number,Name,Constellation,Bayer,HIP,TYC,HD,_RAJ2000,_DEJ2000,V,B-V
Str_Hya_00003032,,Hydra,A Hya,46982.0,4900  1579 1,82870.0,143.6360259588,-5.9149502358,5.56,1.152
Str_Aqr_00003033,,Aquarius,,114822.0,5246  1263 1,219402.0,348.89275284839994,-3.4963765389,5.56,0.058
Str_Lep_00003034,,Lepus,,29205.0,5374  2217 1,42341.0,92.3938511986,-14.5846117469,5.56,1.145
Str_Sgr_00003035,,Sagittarius,,92882.0,6281  2043 1,175317.0,283.87918271990003,-16.3766384611,5.56,0.444
Str_Cen_00003036,,Centaurus,y Cen,67819.0,7291  1975 1,120987.0,208.3863800777,-35.6641858586,5.56,0.43
Str_Col_00003037,,Columba,,27955.0,7602  1621 1,40091.0,88.7186884616,-39.9578541764,5.56,1.489
Str_Col_00003038,,Columba,,29263.0,7616   137 1,42682.0,92.5433519052,-40.353780416599996,5.56,1.638
Str_Vel_00003039,,Vela,,47963.0,7705   406 1,84816.0,146.62655109780002,-44.755059553,5.56,-0.159
Str_Vel_00003040,,Vela,,42535.0,8569  4019 1,74196.0,130.0727648101,-53.0153911125,5.56,-0.121
Str_Vel_00003041,,Vela,,51140.0,8605  2450 1,90677.0,156.7038466018,-54.8772969039,5.56,1.539
Str_Cen_00003042,,Centaurus,,57870.0,8639  3563 1,103101.0,178.0428318516,-56.9877402483,5.56,0.058
Str_Cru_00003043,,Crux,,58326.0,8977  9436 1,103884.0,179.41667874810003,-62.4487459891,5.56,-0.153
Str_Oct_00003044,,Octans,kap Oct,66753.0,9512  1896 1,117374.0,205.2312825932,-85.7860471156,5.56,0.181
Str_Cet_00003045,,Cetus,g Tau,14915.0,62  1579 1,19926.0,48.10985896930001,6.660893600800001,5.57,1.007
Str_Ser_00003046,,Serpens,,77163.0,360  1225 1,140775.0,236.3478497335,5.4473140661000015,5.57,0.03
Str_Ser_00003047,,Serpens,Ser,93051.0,453   352 1,175869.0,284.3191226627,2.5353433722,5.57,-0.003
Str_Gem_00003048,,Gemini,,37521.0,790  1430 1,61913.0,115.51341843670001,14.2085035061,5.57,1.608
Str_Aql_00003049,,Aquila,,95822.0,1067   717 1,183492.0,292.342301987,14.5960254761,5.57,1.047
Str_Psc_00003050,,Pisces,psi02 Psc,5310.0,1202  2127 1,6695.0,16.9881824799,20.739119569,5.57,0.118
Str_Her_00003051,,Hercules,,83692.0,1547  1615 1,154733.0,256.5751979392,22.0841536065,5.57,1.2990000000000002
Str_Vul_00003052,,Vulpecula,,97961.0,2140  3050 1,188485.0,298.6294851435,24.3193818108,5.57,-0.024
Str_Aur_00003053,,Auriga,,22393.0,2387  1014 1,30454.0,72.30349600310001,31.4373742572,5.57,1.13
Str_Leo_00003054,,Leo,,47168.0,2501   648 1,83069.0,144.1785678574,31.1617302558,5.57,1.565
