Internal ID Number,MAIN_ID,OTYPE_3,Constellation,RAJ2000,DEJ2000,V,B-V
H2G_Com_99,M  99,H2G,Coma Berenices,184.70677100,14.41648900,9.869999885559082,0.5699996948242188
AGN_Com_100,M 100,AGN,Coma Berenices,185.72888285,15.82230397,9.350000381469727,0.6999998092651367
GiP_UMa_101,M 101,GiP,Ursa Major,210.80242900,54.34875000,7.860000133514404,0.5999999046325684
SyG_Dra_102,M 102,SyG,Draco,226.62317100,55.76330800,9.890000343322754,0.8499994277954102
OpC_Cas_103,M 103,OpC,Cassiopeia,23.34600000,60.65000000,7.400000095367432,0.31999969482421875
LIN_Vir_104,M 104,LIN,Virgo,189.99763271,-11.62305428,8.0,1.5500001907348633
LIN_Leo_105,M 105,LIN,Leo,161.95666700,12.58163100,9.760000228881836,0.8000001907348633
Sy2_CVn_106,M 106,Sy2,Canes Venatici,184.74008300,47.30371900,8.40999984741211,0.7300004959106445
GlC_Oph_107,M 107,GlC,Ophiucus,248.13275000,-13.05378000,8.850000381469727,1.109999656677246
SBG_UMa_108,M 108,SBG,Ursa Major,167.87902900,55.67412200,,
GiG_UMa_109,M 109,GiG,Ursa Major,179.39993300,53.37451900,,
GiG_And_110,M 110,GiG,Andromeda,10.09189356,41.68541564,8.069999694824219,0.8500003814697266
